QDM Concept	C/A	QDM Attribute	QI Core Profile	QI Core Profile.field	QI Core field	QICore-card	QICore-MS	USCore Profile	USCore-card	USCore-MS	Resource	Comments
Adverse Event 	C	 	QICoreAdverseEvent	QICoreAdverseEvent.actuality 	actuality 			0			AdverseEvent	"Although not specified in QDM, QI-Core provides the ability to differentiate between potential versus actual events "
Adverse Event 	A	code 	QICoreAdverseEvent	QICoreAdverseEvent.event 	event 			0			AdverseEvent	"Type of the event itself in relation to the subject; reference SNOMED-CT event hierarchy to represent the event in an eCQM. Note: QDM does not include an attribute to address additional elements available in QI-Core: QICoreAdverseEvent.suspectEntity (the suspected cause), or the QICoreAdverseEvent.resultingCondition. "
Adverse Event 	A	type 	QICoreAdverseEvent	QICoreAdverseEvent.category 	category 			0			AdverseEvent	 
Adverse Event 	A	severity 	QICoreAdverseEvent	QICoreAdverseEvent.severity 	severity 			0			AdverseEvent	 
Adverse Event 	A	relevantdateTime 	QICoreAdverseEvent	QICoreAdverseEvent.date 	date 			0			AdverseEvent	 
Adverse Event 	A	facilityLocations 	QICoreAdverseEvent	QICoreAdverseEvent.location 	location 			0			AdverseEvent	 
Adverse Event 	A	authorDatetime 	QICoreAdverseEvent	QICoreAdverseEvent.recordedDate 	recordedDate 			0			AdverseEvent	 
Adverse Event 	A	id 	QICoreAdverseEvent	QICoreAdverseEvent.id 	id 			0			AdverseEvent	 
Adverse Event 	A	recorder 	QICoreAdverseEvent	QICoreAdverseEvent.recorder 	recorder 			0			AdverseEvent	 
Adverse Event 	A	 	QICoreAdverseEvent	QICoreAdverseEvent.suspectEntity.instance 	suspectEntity 			0			AdverseEvent	"The actual instance of what caused the adverse event. May be a substance, medication, medication administration, medication statement or a device. "
Adverse Event 	A	 	QICoreAdverseEvent	QICoreAdverseEvent.resultingCondition 	resultingCondition 			0			AdverseEvent	Effect on the subject due to this event 
Allergy/Intolerance 	C	 	QICoreAllergyIntolerance	QICoreQICoreAllergyIntolerance.clinicalStatus 	clinicalStatus 			USCoreAllergyIntolerance			AllergyIntolerance	"active, inactive, resolved "
Allergy/Intolerance 	C	 	QICoreAllergyIntolerance	QICoreAllergyIntolerance.type 	type 			USCoreAllergyIntolerance			AllergyIntolerance	Defines difference between Allergy and Intolerance 
Allergy/Intolerance 	C	 	QICoreAllergyIntolerance	QICoreAllergyIntolerance.verificationStatus 	verificationStatus 			USCoreAllergyIntolerance			AllergyIntolerance	"unconfirmed, confirmed, refuted, entered-in-error "
Allergy/Intolerance 	C	 	QICoreAllergyIntolerance	QICoreAllergyIntolerance.extension:reasonRefuted 	extension:reasonRefuted 			USCoreAllergyIntolerance			AllergyIntolerance	 
Allergy/Intolerance 	C	 	QICoreAllergyIntolerance	QICoreAllergyIntolerance.category 	category 			USCoreAllergyIntolerance			AllergyIntolerance	"Food, medication, environment, biologic "
Allergy/Intolerance 	A	code 	QICoreAllergyIntolerance	QICoreAllergyIntolerance.code 	code 			USCoreAllergyIntolerance			AllergyIntolerance	USCoreAllergySubstance; RxNorm for medication ingredients 
Allergy/Intolerance 	A	id 	QICoreAllergyIntolerance	QICoreAllergyIntolerance.id 	id 			USCoreAllergyIntolerance			AllergyIntolerance	 
Allergy/Intolerance 	A	prevalencePeriod 	QICoreAllergyIntolerance	QICoreAllergyIntolerance.onset[x] 	onset[x] 			USCoreAllergyIntolerance			AllergyIntolerance	"Prevalence Period start time maps to QICoreAllergyIntolerance.onset[x]. Implementers may need to “map” existing allergy onset timings (e.g., day, age, year, etc.) to a corresponding dateTime to allow calculation of measure or CDS expressions. "
Allergy/Intolerance 	A	 	QICoreAllergyIntolerance	QICoreAllergyIntolerance.lastOccurrence 	lastOccurrence 			USCoreAllergyIntolerance			AllergyIntolerance	 
Allergy/Intolerance 	A	 	QICoreAllergyIntolerance	QICoreAllergyIntolerance.extension:resolutionAge 	extension:resolutionAge 			USCoreAllergyIntolerance			AllergyIntolerance	"Prevalence Period end time maps to QICoreAllergyIntolerance.extension:resolutionAge. Implementers may need to “map” existing allergy resolution timings (e.g., day, age, year, etc.) to a corresponding dateTime to allow calculation of measure or CDS expressions. "
Allergy/Intolerance 	A	authorDatetime 	QICoreAllergyIntolerance	QICoreAllergyIntolerance.recordedDate 	recordedDate 			USCoreAllergyIntolerance			AllergyIntolerance	 
